Went	O
here	O
for	O
lunch	FOOD
with	O
two	O
co-workers	O
,	O
checked	O
Yelp	O
before	O
we	O
went	O
and	O
the	O
reviews	O
were	O
very	O
positive	O
so	O
we	O
decided	O
to	O
give	O
it	O
a	O
try	O
.	O
and 	O
eat 	O
pizza	FOOD
Yikes	O
!	O
How	O
can	O
the	O
reviews	O
be	O
4-5	O
stars	O
and	O
the	O
service	O
at	O
best	O
``	O
average	O
''	O
,	O
the	O
food	FOOD
was	O
terrible	O
and	O
myself	O	
and	O
my	O
co-workers	O
all	O
agreed	O
,	O
this	O
restaurant	O
does	O
n't	O
rate	O
two	O
stars	O
.	O
I	O
had	O
one	O	
of	O
the	O
special	O
Friday	O
offerings	O
,	O
Smelt	O
.	O
It	O
came	O
with	O
a	O
salad	FOOD
-LRB-	O
very	O
average	O
but	O
fresh	O
-RRB-	O
,	O
fries	O
-LRB-	O
ordinary	O
-RRB-	O
and	O
the	O
Smelt	O
.	O
After	O
a	O
20-25	O
minute	O
wait	O
our	O
server	O
came	O
with	O
our	O
orders	O
.	O
I	O
looked	O
at	O
my	0
plate	O
and	O
was	O
shocked	O
!	O
There	O
was	O
12-15	O
so-called	O
Smelt	O
about	O
3	0
''	O
long	O
and	O
deep	O
fried	O
.	O
They	O
looked	O
like	O
little	O	
fat	O
cigarettes	O
!	O
I	O
bit	O
into	O
one	O
and	O
it	O
was	O
all	O
batter	O
,	O
I	O
tried	O
another	O
and	O
it	O
was	O
the	O	
same	O
.	O
I	O
had	O
deep	O
fried	O
batter	FOOD
for	O
lunch	FOOD
!!	O
I	O
have	O
n't	O
had	O
a	O
meal	O
this	O
bad	O	
since	O
I	O
got	O
out	O
of	O
the	O
Navy	O
!	O
My	O
co-workes	O
meals	FOOD
were	O
not	O
much	O
better	O
,	O
one	O
had	O
Chicken	FOOD
Fried	O
Steak	FOOD
and	O
he	O
said	O
it	O
was	O
made	O
out	O
of	O
the	O
box	O
.	O
My	O
other	O
co-worker	O
had	O
the	O
Cod	FOOD
and	O
he	O
said	O
it	O
was	O
mushy	O
and	O
brown	O
colored	O
!	O
YUK	O
!	O
I	O
hate	O
to	O
write	O
such	O
a	O
negative	O
review	O
but	O
this	O
restaurant	O
earned	O
``	O
one	O
''	O
star	O
.	O
Maybe	O
they	O
have	O
great	O
breakfast	FOOD
!	O
I	O
hope	O
they	O
do	O
because	O
their	O
lunches	FOOD
are	O
sub-par	O
.	O
There	O
are	O
other	O
restaurants	O
on	O
this	O
street/highway	O
,	O
I	O
'd	O
give	O
them	O
a	O
try	O
before	O
I	O
stopped	O
here	O
.	O
I	O
know	O
my	O
co-workers	O
and	O
I	O
wo	O
n't	O
be	O
coming	O
back	O
.	O